Day_0,Day_T,Time_0,Time_T,Duration,Moscow,Nizhny,Night_I,Night_A,Train,Note
13-Jul-22,13-Jul-22,12:10,17:50,340,1.00,0.00,0.00,0.00,0.00,
16-Jul-22,16-Jul-22,12:40,19:55,435,1.00,0.00,0.00,0.00,0.00,
17-Jul-22,17-Jul-22,16:05,20:10,245,1.00,0.00,0.00,0.00,0.00,
20-Jul-22,20-Jul-22,12:20,20:20,480,1.00,0.00,0.00,0.00,0.00,
22-Jul-22,22-Jul-22,10:25,22:30,725,1.00,0.00,0.00,0.00,0.00,
24-Jul-22,24-Jul-22,10:00,21:25,685,1.00,0.00,0.00,0.00,0.00,
26-Jul-22,26-Jul-22,12:10,22:15,605,1.00,0.00,0.00,0.00,0.00,
30-Jul-22,30-Jul-22,16:15,21:05,290,1.00,0.00,0.00,0.00,0.00,
1-Aug-22,1-Aug-22,14:15,19:05,290,1.00,0.00,0.00,0.00,0.00,
3-Aug-22,3-Aug-22,14:35,20:20,345,1.00,0.00,0.00,0.00,0.00,
5-Aug-22,9-Aug-22,4:05,8:40,6035,1.00,1.00,1.00,0.00,2.00,strange days
9-Aug-22,10-Aug-22,15:10,14:05,1375,0.00,1.00,1.00,0.00,0.00,strange days
10-Aug-22,11-Aug-22,23:20,12:25,785,0.00,1.00,1.00,0.00,0.00,strange days
11-Aug-22,12-Aug-22,15:50,10:10,1100,0.00,1.00,1.00,0.00,0.00,strange days
12-Aug-22,13-Aug-22,14:00,15:10,1510,0.00,1.00,1.00,0.00,0.00,strange days
14-Aug-22,14-Aug-22,17:10,20:45,215,0.00,1.00,0.00,0.00,0.00,strange days
15-Aug-22,16-Aug-22,15:05,16:30,1525,0.00,1.00,1.00,0.00,0.00,strange days
17-Aug-22,17-Aug-22,8:35,9:40,65,0.00,1.00,0.00,0.00,1.00,strange days
27-Aug-22,28-Aug-22,20:50,18:10,1280,0.00,1.00,1.00,0.00,2.00,
29-Aug-22,29-Aug-22,17:20,20:40,200,0.00,1.00,0.00,0.00,0.00,
30-Aug-22,30-Aug-22,17:40,22:50,310,0.00,1.00,0.00,0.00,0.00,
3-Sep-22,4-Sep-22,19:00,21:20,1580,0.00,1.00,1.00,0.00,0.00,
5-Sep-22,6-Sep-22,20:55,9:40,765,0.00,1.00,1.00,0.00,2.00,
25-Sep-22,26-Sep-22,20:50,10:05,795,0.00,1.00,1.00,0.00,0.00,
29-Sep-22,29-Sep-22,20:20,23:10,170,0.00,1.00,0.00,0.00,0.00,
1-Oct-22,2-Oct-22,18:25,1:30,425,0.00,1.00,0.00,0.00,0.00,
4-Oct-22,5-Oct-22,20:55,8:40,705,0.00,1.00,1.00,0.00,0.00,
5-Oct-22,6-Oct-22,19:20,6:35,675,0.00,1.00,1.00,0.00,2.00,
10-Oct-22,11-Oct-22,20:45,7:05,620,0.00,1.00,1.00,0.00,2.00,
13-Oct-22,13-Oct-22,19:20,23:55,275,0.00,1.00,0.00,0.00,0.00,
15-Oct-22,15-Oct-22,17:35,22:40,305,0.00,1.00,1.00,0.00,0.00,
17-Oct-22,18-Oct-22,20:40,9:00,740,0.00,1.00,1.00,0.00,0.00,
